Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Shipping Days,Order Year,Order Month,Order Monthname,Profit Margin,Profitability,Returned,Manager,Discount Band
26268,High,0.05,115.99,2.5,16,Sarah Ramsey,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 7797,0.55,United States,East,New York,Syracuse,13210,2015-02-12,2015-02-14,652.7330999999999,10,945.99,86836,2,2015,2,Feb,0.69,1,0,Erin,Low
23890,High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,West,Montana,Helena,59601,2015-05-15,2015-05-16,314.4813,17,455.77,90031,1,2015,5,May,0.69,1,0,William,Low
24063,Not Specified,0.07,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,West,Montana,Missoula,59801,2015-05-21,2015-05-23,-114.63990000000001,18,231.79,90032,2,2015,5,May,-0.4945851848656112,0,0,William,Medium
5890,High,0.05,26.48,6.93,21,Tony Wilkins Winters,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,East,New York,New York City,10012,2015-05-15,2015-05-16,384.38,70,1876.69,41793,1,2015,5,May,0.20481805732433167,1,0,Erin,Low
6062,Not Specified,0.08,5.0,3.39,21,Tony Wilkins Winters,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,0.37,United States,East,New York,New York City,10012,2015-05-21,2015-05-22,-17.49,58,293.06,42949,1,2015,5,May,-0.05968061147887804,0,0,Erin,Medium
6063,Not Specified,0.07,12.99,9.44,21,Tony Wilkins Winters,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,East,New York,New York City,10012,2015-05-21,2015-05-23,-114.63990000000001,71,914.29,42949,2,2015,5,May,-0.12538680287436155,0,0,Erin,Medium
20631,High,0.06,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,United States,West,California,Laguna Niguel,92677,2015-01-28,2015-01-29,-28.2968,1,67.49,87651,1,2015,1,Jan,-0.41927396651355764,0,0,William,Medium
20632,High,0.02,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,United States,West,California,Laguna Niguel,92677,2015-01-28,2015-01-30,-5.3072,1,2.25,87651,2,2015,1,Jan,-2.3587555555555557,0,0,William,Low
23967,Not Specified,0.04,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,United States,West,California,Lakewood,90712,2015-05-02,2015-05-04,8.894000000000005,12,54.78,87652,2,2015,5,May,0.1623585250091275,1,0,William,Low
23509,High,0.08,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,United States,West,Oregon,Grants Pass,97526,2015-02-22,2015-02-23,144.69,13,424.68,89199,1,2015,2,Feb,0.34070358858434585,1,0,William,Medium
23612,High,0.01,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,United States,West,Oregon,Grants Pass,97526,2015-03-27,2015-03-28,-35.8788,2,40.17,89200,1,2015,3,Mar,-0.8931740104555638,0,0,William,Low
23278,Medium,0.09,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59,United States,West,Oregon,Grants Pass,97526,2015-01-20,2015-01-22,209.997,8,783.55,89202,2,2015,1,Jan,0.2680071469593517,1,0,William,Medium
19355,Low,0.06,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56,United States,West,Oregon,Grants Pass,97526,2015-03-12,2015-03-19,3568.096,22,3838.14,89203,7,2015,3,Mar,0.9296419619920065,1,0,William,Medium
23654,Not Specified,0.03,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,United States,West,Oregon,Gresham,97030,2015-06-15,2015-06-17,-84.4376,13,58.68,89201,2,2015,6,Jun,-1.4389502385821404,0,0,William,Low
23655,Not Specified,0.04,2.94,0.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,United States,West,Oregon,Gresham,97030,2015-06-15,2015-06-16,24.312,18,53.1,89201,1,2015,6,Jun,0.4578531073446328,1,0,William,Low
25933,High,0.0,99.99,19.99,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,0.52,United States,West,Washington,Redmond,98052,2015-05-10,2015-05-11,25.913820000000015,6,647.07,91454,1,2015,5,May,0.04004793917195978,1,0,William,No Discount
18551,Not Specified,0.0,115.99,2.5,52,Lorraine Kelly,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6160,0.57,United States,West,Washington,Puyallup,98373,2015-03-10,2015-03-10,162.666,6,627.04,88426,0,2015,3,Mar,0.25941885685123756,1,0,William,No Discount
22117,Critical,0.07,3502.14,8.73,53,Sidney Russell Austin,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Box,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,0.57,United States,West,Washington,Redmond,98052,2015-01-28,2015-01-30,-6923.5992,1,3267.55,88425,2,2015,1,Jan,-2.1188961760340312,0,0,William,Medium
18552,Not Specified,0.02,5.98,5.79,53,Sidney Russell Austin,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1903,0.36,United States,West,Washington,Redmond,98052,2015-03-10,2015-03-11,-67.49,17,110.19,88426,1,2015,3,Mar,-0.61248752155368,0,0,William,Low
20697,Medium,0.06,3.8,1.49,56,Randall Montgomery,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Durable Pressboard Binders,0.38,United States,East,New York,Tonawanda,14150,2015-04-20,2015-04-21,19.6282,20,73.55,88075,1,2015,4,Apr,0.26686879673691366,1,0,Erin,Medium
20698,Medium,0.06,1.76,0.7,56,Randall Montgomery,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 310,0.56,United States,East,New York,Tonawanda,14150,2015-04-20,2015-04-21,-1.6524,17,29.57,88075,1,2015,4,Apr,-0.055880960432871156,0,0,Erin,Medium
22890,High,0.02,5.98,5.15,62,Pam Gilbert,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 193,0.36,United States,Central,Texas,Round Rock,78664,2015-05-09,2015-05-11,2.1400000000000023,3,22.85,87407,2,2015,5,May,0.0936542669584246,1,0,Chris,Low
25354,High,0.04,29.14,4.86,62,Pam Gilbert,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",0.38,United States,Central,Texas,Round Rock,78664,2015-06-12,2015-06-14,349.40909999999997,17,506.39,87408,2,2015,6,Jun,0.69,1,0,Chris,Low
21017,Not Specified,0.0,3.69,0.5,64,Lynn Morrow,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 501,0.38,United States,South,Virginia,Salem,24153,2015-03-02,2015-03-04,-37.5291,1,4.0,87406,2,2015,3,Mar,-9.382275,0,0,Sam,No Discount
21019,Not Specified,0.02,175.99,4.99,64,Lynn Morrow,Express Air,Small Business,Technology,Telephones and Communication,Small Box,5165,0.59,United States,South,Virginia,Salem,24153,2015-03-02,2015-03-02,101.49,4,589.8,87406,0,2015,3,Mar,0.17207527975584944,1,0,Sam,Low
23274,Low,0.05,155.06,7.07,67,Ellen McCormick,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,United States,West,California,Napa,94559,2015-01-02,2015-01-09,845.6639999999999,8,1225.6,87946,7,2015,1,Jan,0.69,1,0,William,Low
5272,Low,0.0,291.73,48.8,68,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,0.56,United States,East,New York,New York City,10177,2015-01-02,2015-01-02,-308.928,4,1239.06,37537,0,2015,1,Jan,-0.24932448791826062,0,0,Erin,No Discount
5273,Low,0.07,100.98,45.0,68,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon Valutask™ Swivel Chairs,0.69,United States,East,New York,New York City,10177,2015-01-02,2015-01-04,-1679.7599999999998,43,4083.19,37537,2,2015,1,Jan,-0.4113842363446226,0,0,Erin,Medium
5274,Low,0.05,155.06,7.07,68,Scott Bunn,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,United States,East,New York,New York City,10177,2015-01-02,2015-01-09,575.3960000000001,32,4902.38,37537,7,2015,1,Jan,0.11737074645376329,1,0,Erin,Low
7786,High,0.09,122.99,70.2,68,Scott Bunn,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",0.74,United States,East,New York,New York City,10177,2015-02-02,2015-02-04,-2426.55,49,5718.85,55713,2,2015,2,Feb,-0.4243073345165549,0,0,Erin,Medium
25786,High,0.09,122.99,70.2,70,Annette Boone,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",0.74,United States,East,Vermont,Burlington,5401,2015-02-02,2015-02-04,-2426.55,12,1400.53,87947,2,2015,2,Feb,-1.732594089380449,0,0,Erin,Medium
18281,High,0.04,296.18,54.12,83,Edgar Stone,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Hon 94000 Series Round Tables,0.76,United States,East,Ohio,Canton,44708,2015-03-15,2015-03-15,-715.7782060000003,6,1821.89,87365,0,2015,3,Mar,-0.3928767411863506,0,0,Erin,Low
23639,Not Specified,0.0,8.09,7.96,84,Helen Stein,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",0.49,United States,East,Ohio,Cincinnati,45231,2015-02-02,2015-02-03,-144.56,11,90.98,87364,1,2015,2,Feb,-1.5889206418993185,0,0,Erin,No Discount
23880,High,0.08,896.99,19.99,84,Helen Stein,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL300 Electric Binding System,0.38,United States,East,Ohio,Cincinnati,45231,2015-03-30,2015-04-02,7402.32,13,10728.0,87366,3,2015,3,Mar,0.69,1,0,Erin,Medium
24663,Low,0.05,161.55,19.99,87,Norman Shields,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,West,California,Vacaville,95687,2015-06-03,2015-06-08,1892.424,19,3127.69,90596,5,2015,6,Jun,0.6050548487861649,1,0,William,Low
23841,High,0.09,4.91,0.5,87,Norman Shields,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,California,Vacaville,95687,2015-03-22,2015-03-23,28.8558,9,41.82,90597,1,2015,3,Mar,0.69,1,0,William,Medium
23842,High,0.01,296.18,54.12,87,Norman Shields,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Hon 94000 Series Round Tables,0.76,United States,West,California,Vacaville,95687,2015-03-22,2015-03-25,173.48,9,2875.72,90597,3,2015,3,Mar,0.06032576189615123,1,0,William,Low
23071,High,0.07,19.84,4.1,91,Wallace Werner,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Prismacolor Color Pencil Set,0.44,United States,West,California,Vallejo,94591,2015-05-17,2015-05-18,117.852,9,170.8,87175,1,2015,5,May,0.69,1,0,William,Medium
19877,Medium,0.05,5.18,2.04,91,Wallace Werner,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,0.36,United States,West,California,Vallejo,94591,2015-02-18,2015-02-20,34.010400000000004,10,53.54,87176,2,2015,2,Feb,0.6352334703025776,1,0,William,Low
19611,Medium,0.06,175.99,8.99,91,Wallace Werner,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,2180,0.57,United States,West,California,Vallejo,94591,2015-03-04,2015-03-06,2031.507,23,3363.53,87177,2,2015,3,Mar,0.603980639387786,1,0,William,Medium
23069,High,0.07,8.34,1.43,92,Victoria Baker Hoover,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",0.35,United States,South,Louisiana,Terrytown,70056,2015-05-17,2015-05-19,-190.67999999999998,16,132.08,87175,2,2015,5,May,-1.4436705027256205,0,0,Sam,Medium
23070,High,0.09,4.98,6.07,92,Victoria Baker Hoover,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1897,0.36,United States,South,Louisiana,Terrytown,70056,2015-05-17,2015-05-18,325.398,9,45.34,87175,1,2015,5,May,7.176841640935157,1,0,Sam,Medium
23203,Medium,0.04,12.98,3.14,92,Victoria Baker Hoover,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme® 8"" Straight Scissors",0.6,United States,South,Louisiana,Terrytown,70056,2015-06-07,2015-06-09,22.817999999999998,16,216.04,87178,2,2015,6,Jun,0.1056193297537493,1,0,Sam,Low
6243,Not Specified,0.04,160.98,30.0,94,Eddie House Mueller,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,0.62,United States,Central,Illinois,Chicago,60601,2015-05-03,2015-05-05,116.1,37,6276.34,44231,2,2015,5,May,0.01849804185241717,1,0,Chris,Low
6244,Not Specified,0.01,17.98,4.0,94,Eddie House Mueller,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",0.79,United States,Central,Illinois,Chicago,60601,2015-05-03,2015-05-05,-87.96,146,2664.4,44231,2,2015,5,May,-0.03301306110193664,0,0,Chris,Low
24243,Not Specified,0.04,160.98,30.0,97,Max McKenna,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,0.62,United States,Central,Kansas,Manhattan,66502,2015-05-03,2015-05-05,255.42000000000002,9,1526.68,87306,2,2015,5,May,0.16730421568370582,1,0,Chris,Low
24245,Not Specified,0.06,115.99,8.99,97,Max McKenna,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,5185,0.58,United States,Central,Kansas,Manhattan,66502,2015-05-03,2015-05-04,685.6146,20,1952.56,87306,1,2015,5,May,0.3511362518949482,1,0,Chris,Medium
18494,Medium,0.1,19.98,4.0,101,Claudia Boyle,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,0.68,United States,East,Maine,Biddeford,4005,2015-06-22,2015-06-24,-16.2,16,303.59,88205,2,2015,6,Jun,-0.05336144141770151,0,0,Erin,Medium
6014,Medium,0.04,300.98,54.92,102,Caroline Johnston,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,United States,East,Massachusetts,Boston,2129,2015-04-06,2015-04-07,2023.75,31,9459.94,42599,1,2015,4,Apr,0.21392841815064365,1,0,Erin,Low
494,Medium,0.1,19.98,4.0,102,Caroline Johnston,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,0.68,United States,East,Massachusetts,Boston,2129,2015-06-22,2015-06-24,-20.25,65,1233.32,3397,2,2015,6,Jun,-0.01641909642266403,0,0,Erin,Medium
495,Medium,0.09,2.88,1.49,102,Caroline Johnston,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,0.36,United States,East,Massachusetts,Boston,2129,2015-06-22,2015-06-23,-3.381,17,47.31,3397,1,2015,6,Jun,-0.07146480659480024,0,0,Erin,Medium
24014,Medium,0.04,300.98,54.92,107,Lois Hamilton,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",0.55,United States,East,New Hampshire,Dover,3820,2015-04-06,2015-04-07,1684.4762999999998,8,2441.27,88204,1,2015,4,Apr,0.69,1,0,Erin,Low
18495,Medium,0.09,2.88,1.49,109,Tom McFarland,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,0.36,United States,East,New Jersey,Lodi,7644,2015-06-22,2015-06-23,-2.7047999999999996,4,11.13,88205,1,2015,6,Jun,-0.24301886792452826,0,0,Erin,Medium
19074,High,0.03,4.26,1.2,114,Ron Newton,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Oregon,Lake Oswego,97035,2015-01-03,2015-01-04,18.658,7,29.5,89583,1,2015,1,Jan,0.6324745762711865,1,0,William,Low
19950,Medium,0.01,4.91,0.5,114,Ron Newton,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,Oregon,Lake Oswego,97035,2015-04-04,2015-04-06,40.247699999999995,12,58.33,89584,2,2015,4,Apr,0.69,1,0,William,Low
19951,Medium,0.09,4.0,1.3,114,Ron Newton,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,0.37,United States,West,Oregon,Lake Oswego,97035,2015-04-04,2015-04-06,14.0898,5,20.42,89584,2,2015,4,Apr,0.69,1,0,William,Medium
26241,Low,0.07,2.12,1.99,115,Dwight M Carr,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,0.55,United States,West,Oregon,Mcminnville,97128,2015-04-09,2015-04-11,-55.84,12,26.07,89585,2,2015,4,Apr,-2.14192558496356,0,0,William,Medium
1074,High,0.03,4.26,1.2,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Washington,Seattle,98103,2015-01-03,2015-01-04,9.82,29,122.23,7909,1,2015,1,Jan,0.08034034197823775,1,0,William,Low
1950,Medium,0.01,4.91,0.5,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,Washington,Seattle,98103,2015-04-04,2015-04-06,112.06,47,228.46,13959,2,2015,4,Apr,0.49050161953952554,1,1,William,Low
1951,Medium,0.09,4.0,1.3,117,Linda Weiss,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,0.37,United States,West,Washington,Seattle,98103,2015-04-04,2015-04-06,16.79,19,77.61,13959,2,2015,4,Apr,0.21633810076021132,1,1,William,Medium
8241,Low,0.07,2.12,1.99,117,Linda Weiss,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,0.55,United States,West,Washington,Seattle,98103,2015-04-09,2015-04-11,-55.84,46,99.94,58914,2,2015,4,Apr,-0.5587352411446869,0,0,William,Medium
20688,High,0.05,6.3,0.5,120,Helen H Murphy,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 51,0.39,United States,West,Utah,Layton,84041,2015-01-12,2015-01-13,41.296499999999995,10,59.85,86520,1,2015,1,Jan,0.69,1,0,William,Low
20689,High,0.09,205.99,3.0,120,Helen H Murphy,Express Air,Corporate,Technology,Telephones and Communication,Small Box,6185,0.58,United States,West,Utah,Layton,84041,2015-01-12,2015-01-14,1179.0237,10,1708.73,86520,2,2015,1,Jan,0.69,1,0,William,Medium
19942,Critical,0.06,8.57,6.14,123,Shawn Stern,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Office Executive Series Stainless Steel Trimmers,0.59,United States,South,Virginia,Tysons Corner,22102,2015-04-09,2015-04-10,105.678,11,94.97,90669,1,2015,4,Apr,1.1127513951774244,1,0,Sam,Medium
24319,Not Specified,0.02,1.74,4.08,129,Kara Allison,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,"Eldon Regeneration Recycled Desk Accessories, Smoke",0.53,United States,Central,Illinois,Alton,62002,2015-01-27,2015-01-28,-37.39,5,10.23,86693,1,2015,1,Jan,-3.654936461388074,0,0,Chris,Low
18161,Not Specified,0.07,15.74,1.39,129,Kara Allison,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",0.4,United States,Central,Illinois,Alton,62002,2015-05-25,2015-05-26,149.88869999999997,14,217.23,86694,1,2015,5,May,0.69,1,0,Chris,Medium
25762,Critical,0.04,18.97,9.54,136,Dale Gillespie,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,0.37,United States,West,California,Petaluma,94952,2015-05-16,2015-05-17,3.0400000000000027,5,101.74,88534,1,2015,5,May,0.02988008649498725,1,0,William,Low
25764,Critical,0.09,10.98,3.37,136,Dale Gillespie,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,United States,West,California,Petaluma,94952,2015-05-16,2015-05-17,2.7060000000000013,8,84.52,88534,1,2015,5,May,0.03201609086606722,1,0,William,Medium
24803,Critical,0.03,22.84,11.54,142,Brooke Weeks Taylor,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1964,0.39,United States,East,Connecticut,Ansonia,6401,2015-06-02,2015-06-03,91.95599999999999,13,312.59,91087,1,2015,6,Jun,0.2941744777504079,1,0,Erin,Low
24805,Critical,0.05,10.98,3.37,144,Marguerite Moss,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Fiskars® Softgrip Scissors,0.57,United States,East,Massachusetts,Yarmouth,2664,2015-06-02,2015-06-03,-2.544,6,64.4,91087,1,2015,6,Jun,-0.03950310559006211,0,0,Erin,Low
24849,Medium,0.06,7.04,2.17,145,Rhonda Ivey,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",0.38,United States,East,Pennsylvania,West Mifflin,15122,2015-01-15,2015-01-17,2.4852,2,14.65,91086,2,2015,1,Jan,0.1696382252559727,1,0,Erin,Medium
25582,Low,0.07,154.13,69.0,145,Rhonda Ivey,Express Air,Home Office,Furniture,Tables,Large Box,Laminate Occasional Tables,0.68,United States,East,Pennsylvania,West Mifflin,15122,2015-03-16,2015-03-16,-634.7341000000001,3,453.62,91089,0,2015,3,Mar,-1.3992639213438565,0,0,Erin,Medium
23365,Not Specified,0.01,45.98,4.8,146,Yvonne Fox,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,Tenex B1-RE Series Chair Mats for Low Pile Carpets,0.68,United States,Central,Texas,Watauga,76148,2015-03-12,2015-03-13,133.5771,4,193.59,91088,1,2015,3,Mar,0.69,1,0,Chris,Low
22907,Medium,0.06,180.98,26.2,146,Yvonne Fox,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Global Ergonomic Managers Chair,0.59,United States,Central,Texas,Watauga,76148,2015-04-23,2015-04-24,251.40839999999997,5,929.57,91090,1,2015,4,Apr,0.27045666275804936,1,0,Chris,Medium
